SMILES,SELFIES,Molecular_Weight,LogP,Solubility
O=C(c1ccccc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,[O][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][=N][N][N][=C][C][=Branch1][C][=O][NH1][C][Ring1][#Branch1][=O][C][=C][Ring1][=C],293.28200000000004,1.1517999999999997,84.82
O=c1cnn(-c2ccc(C(O)c3ccc(Cl)cc3)c(Cl)c2)c(=O)[nH]1,[O][=C][C][=N][N][Branch2][Ring1][=N][C][=C][C][=C][Branch1][S][C][Branch1][C][O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][Branch1][C][Cl][=C][Ring1][S][C][=Branch1][C][=O][NH1][Ring2][Ring1][#Branch1],364.18800000000005,2.3093,87.97999999999999
O=C(c1ccccc1)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl,[O][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][Branch1][=N][N][N][=C][C][=Branch1][C][=O][NH1][C][Ring1][#Branch1][=O][=C][C][=C][Ring1][=C][Cl],327.727,1.8051999999999997,84.82
Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(O)c1ccccc1,[C][C][=C][C][Branch1][=N][N][N][=C][C][=Branch1][C][=O][NH1][C][Ring1][#Branch1][=O][=C][C][=C][Ring1][=C][C][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1],309.32500000000005,1.3109199999999996,87.98
COc1cc2nc(N3CCN(C(=O)C4CC4c4ccccc4)CC3)nc(N)c2cc1OC,[C][O][C][=C][C][=N][C][Branch2][Ring1][=N][N][C][C][N][Branch2][Ring1][C][C][=Branch1][C][=O][C][C][C][Ring1][Ring1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][P][=N][C][Branch1][C][N][=C][Ring2][Ring1][Branch2][C][=C][Ring2][Ring1][N][O][C],433.5120000000002,2.6815000000000007,93.81
COc1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)cc1,[C][O][C][=C][C][=C][Branch2][Ring1][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=N][N][N][=C][C][=Branch1][C][=O][NH1][C][Ring1][#Branch1][=O][C][=C][Ring1][=C][C][=C][Ring2][Ring1][=Branch1],323.30800000000005,1.1603999999999999,94.05000000000001
COc1cc2nc(N3CCN(S(=O)(=O)c4cccs4)CC3)nc(N)c2cc1OC,[C][O][C][=C][C][=N][C][Branch2][Ring1][=Branch2][N][C][C][N][Branch1][#C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][S][Ring1][Branch1][C][C][Ring1][=C][=N][C][Branch1][C][N][=C][Ring2][Ring1][Branch1][C][=C][Ring2][Ring1][=Branch2][O][C],435.53100000000023,1.8016,110.88
c1ccc2c(c1)c1cc[n+]2Cc2ccc(cc2)-c2ccc(cc2)C[n+]2ccc(c3ccccc32)NCCCCCCCCCCN1,[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=N+1][Ring1][#Branch1][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][N+1][=C][C][=C][Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2][N][C][C][C][C][C][C][C][C][C][C][N][Ring2][Ring2][Branch2],606.858,9.289800000000001,31.82
Nc1cc[n+](Cc2cccc(-c3cccc(C[n+]4ccc(N)c5ccccc54)c3)c2)c2ccccc12,[N][C][=C][C][=N+1][Branch2][Ring2][N][C][C][=C][C][=C][C][Branch2][Ring1][#C][C][=C][C][=C][C][Branch2][Ring1][Ring1][C][N+1][=C][C][=C][Branch1][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][O][=C][Ring2][Ring1][C][=C][Ring2][Ring1][Branch2][C][=C][C][=C][C][=C][Ring2][Ring2][Ring1][Ring1][=Branch1],468.6040000000002,5.496000000000005,59.8
Nc1cc[n+](Cc2ccc(CCc3ccc(C[n+]4ccc(N)c5ccccc54)cc3)cc2)c2ccccc12,[N][C][=C][C][=N+1][Branch2][Ring2][=C][C][C][=C][C][=C][Branch2][Ring1][P][C][C][C][=C][C][=C][Branch2][Ring1][Ring1][C][N+1][=C][C][=C][Branch1][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][O][C][=C][Ring2][Ring1][C][C][=C][Ring2][Ring1][#Branch2][C][=C][C][=C][C][=C][Ring2][Ring2][Branch1][Ring1][=Branch1],496.6580000000002,5.614200000000005,59.8
Nc1cc[n+](Cc2ccc(/C=C\c3ccc(C[n+]4ccc(N)c5ccccc54)cc3)cc2)c2ccccc12,[N][C][=C][C][=N+1][Branch2][Ring2][=C][C][C][=C][C][=C][Branch2][Ring1][P][/C][=C][\C][=C][C][=C][Branch2][Ring1][Ring1][C][N+1][=C][C][=C][Branch1][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][O][C][=C][Ring2][Ring1][C][C][=C][Ring2][Ring1][#Branch2][C][=C][C][=C][C][=C][Ring2][Ring2][Branch1][Ring1][=Branch1],494.6420000000002,5.999400000000005,59.8
c1ccc(C[n+]2ccc(NCCCCCCCCCCNc3cc[n+](Cc4ccccc4)c4ccccc34)c3ccccc32)cc1,[C][=C][C][=C][Branch2][Branch1][=Branch2][C][N+1][=C][C][=C][Branch2][Ring2][=Branch1][N][C][C][C][C][C][C][C][C][C][C][N][C][=C][C][=N+1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][P][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring2][Ring2][#Branch1][C][=C][Ring2][Ring2][=C],608.8740000000001,9.309400000000002,31.819999999999997
C1=C\c2ccc(cc2)C[n+]2ccc(c3ccccc32)NCCCCCCCCCCNc2cc[n+](c3ccccc23)Cc2ccc/1cc2,[C][=C][\C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][N+1][=C][C][=C][Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2][N][C][C][C][C][C][C][C][C][C][C][N][C][=C][C][=N+1][Branch1][O][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][C][=C][C][=C][-/Ring2][Ring2][=C][C][=C][Ring1][=Branch1],632.8960000000003,9.793199999999999,31.819999999999997
c1ccc2c(c1)c1cc[n+]2Cc2ccc(cc2)CCc2ccc(cc2)C[n+]2ccc(c3ccccc32)NCCCCCCCCCCN1,[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=N+1][Ring1][#Branch1][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][N+1][=C][C][=C][Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2][N][C][C][C][C][C][C][C][C][C][C][N][Ring2][Ring2][#Branch2],634.9119999999997,9.408000000000001,31.82
c1ccc2c(c1)c1cc[n+]2Cc2ccc(cc2)Cc2ccc(cc2)C[n+]2ccc(c3ccccc32)NCCCCCCCCCCN1,[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=N+1][Ring1][#Branch1][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][N+1][=C][C][=C][Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2][N][C][C][C][C][C][C][C][C][C][C][N][Ring2][Ring2][=Branch2],620.8849999999998,9.213600000000001,31.82
Nc1cc[n+](Cc2ccc3c(c2)Cc2cc(C[n+]4ccc(N)c5ccccc54)ccc2-3)c2ccccc12,[N][C][=C][C][=N+1][Branch2][Ring2][=C][C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][=C][C][Branch2][Ring1][Ring1][C][N+1][=C][C][=C][Branch1][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][O][=C][C][=C][Ring2][Ring1][C][Ring2][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring2][Ring2][Ring2][Ring1][=Branch1],480.6150000000002,5.400200000000004,59.8
Nc1cc[n+](Cc2ccc(-c3ccc(C[n+]4ccc(N)c5ccccc54)cc3)cc2)c2ccccc12,[N][C][=C][C][=N+1][Branch2][Ring2][N][C][C][=C][C][=C][Branch2][Ring1][#C][C][=C][C][=C][Branch2][Ring1][Ring1][C][N+1][=C][C][=C][Branch1][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][O][C][=C][Ring2][Ring1][C][C][=C][Ring2][Ring1][Branch2][C][=C][C][=C][C][=C][Ring2][Ring2][Ring1][Ring1][=Branch1],468.60400000000016,5.496000000000004,59.8
Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1Cl,[C][C][=C][C][Branch1][=N][N][N][=C][C][=Branch1][C][=O][NH1][C][Ring1][#Branch1][=O][=C][C][=C][Ring1][=C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Cl],376.19900000000007,2.7670200000000005,84.82
c1ccc2c(c1)c1cc[n+]2Cc2ccc3c(c2)Cc2cc(ccc2-3)C[n+]2ccc(c3ccccc32)NCCCCCCCCCCN1,[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=N+1][Ring1][#Branch1][C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][=C][C][=Branch1][Branch2][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2][C][N+1][=C][C][=C][Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2][N][C][C][C][C][C][C][C][C][C][C][N][Ring2][Ring2][=Branch2],618.8689999999998,9.194000000000003,31.82
